City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,ilomantsi,62.6716,30.9328,18.72,60,99,3.54,FI,1722608264
102,rio grande,-32.035,-52.0986,21.08,80,9,7.81,BR,1722608265
103,calama,-22.4667,-68.9333,15.27,8,0,6.17,CL,1722608094
104,jiagedaqi,50.4167,124.1167,15.61,61,0,0.97,CN,1722608267
105,corumba,-19.0092,-57.6533,32.95,27,0,5.14,BR,1722608268
106,arar,30.9753,41.0381,40.01,8,0,9.26,SA,1722608269
107,champerico,14.3,-91.9167,26.3,86,100,3.85,GT,1722608270
108,floro,61.5996,5.0328,24.04,68,0,4.12,NO,1722608271
109,longyearbyen,78.2186,15.6401,14.91,63,0,2.57,SJ,1722608273
110,la passe,45.5549,-0.8967,28.13,57,0,6.72,FR,1722608274
111,plettenberg bay,-34.0527,23.3716,14.34,67,99,2.33,ZA,1722608275
112,bikenibeu village,1.3673,173.1241,27.98,83,20,1.54,KI,1722608276
113,thompson,55.7435,-97.8558,17.09,72,20,3.6,CA,1722608277
114,vozhega,60.4725,40.2213,20.1,76,14,2.59,RU,1722608278
115,broken hill,-31.95,141.4333,10.78,43,64,4.0,AU,1722608279
116,aral,40.5156,81.2636,30.31,34,100,10.31,CN,1722608280
117,xifeng,42.7372,124.7222,21.82,92,1,0.74,CN,1722608282
118,teramo,42.65,13.6833,36.73,41,5,3.68,IT,1722608283
119,invercargill,-46.4,168.35,-1.1,96,17,1.7,NZ,1722608284
120,badger,64.8,-147.5333,10.14,90,100,4.12,US,1722608285
121,saint david's,12.0333,-61.6667,30.69,74,20,5.66,GD,1722608286
122,klyuchi,52.2667,79.1667,27.47,41,30,4.18,RU,1722608287
123,port lincoln,-34.7333,135.8667,11.25,71,99,2.63,AU,1722608289
124,houghton,47.1219,-88.569,25.62,79,0,5.66,US,1722608290
125,simcoe,42.8334,-80.2997,24.08,87,100,2.36,CA,1722608018
126,paracuru,-3.41,-39.0306,30.06,42,54,6.1,BR,1722608292
127,crane,31.3974,-102.3501,26.06,54,1,6.78,US,1722608293
128,duluth,46.7833,-92.1066,24.63,78,0,3.6,US,1722608179
129,anadyr,64.75,177.4833,7.28,93,75,5.0,RU,1722608295
